variable,variable_label,value_labels,r_class,missing_n,missing_percent,unique_n
v217,knowledge of ovulatory cycle,during her period = 1 | after period ended = 2 | middle of the cycle = 3 | before period begins = 4 | at any time = 5 | other = 6 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,7
v218,number of living children,NA,numeric,0,0,14
v219,living children + current pregnancy,NA,numeric,0,0,14
v220,living children + current pregnancy (grouped),6+ = 6,"haven_labelled, vctrs_vctr, double",0,0,7
v221,marriage to first birth interval (months),negative interval = 996,"haven_labelled, vctrs_vctr, double",908,5.048370955187368,186
v222,last birth to interview (months),NA,numeric,515,2.863338151895919,166
v223,completeness of current pregnancy information,month - exact date = 7 | none - date placed = 8,"haven_labelled, vctrs_vctr, double",16190,90.01445568775715,1
v224,entries in birth history,NA,numeric,0,0,17
v225,current pregnancy wanted,then = 1 | later = 2 | not at all = 3,"haven_labelled, vctrs_vctr, double",16190,90.01445568775715,3
v226,time since last period (comp) (months),in menopause = 994 | before last pregnancy = 995 | never menstruated = 996 | inconsistent = 997 | don't know = 998,"haven_labelled, vctrs_vctr, double",0,0,26
v227,flag for last period,"no flag = 0 | n > interval since birth = 1 | n + amen. > interval = 2 | n, but period not returned = 3 | 95, but no  pregnancy = 4 | 95, but period returned = 5 | 96, but period returned = 6 | n, last period during pregnancy = 7 | 96, had children = 8 | n, period before last pregnancy = 9","haven_labelled, vctrs_vctr, double",0,0,7
v228,ever had a terminated pregnancy,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v229,month pregnancy ended,inconsistent = 97 | don't know = 98,"haven_labelled, vctrs_vctr, double",13605,75.6421661292116,12
v230,year pregnancy ended,inconsistent = 9997 | don't know = 9998,"haven_labelled, vctrs_vctr, double",13605,75.6421661292116,30
v231,cmc pregnancy ended,inconsistent = 9997 | don't know = 9998,"haven_labelled, vctrs_vctr, double",13605,75.6421661292116,262
v232,completeness of last termination information,"month, year and day = 0 | month and year = 1 | from calendar = 2 | year = 5 | month = 7 | none = 8","haven_labelled, vctrs_vctr, double",13605,75.6421661292116,6
v233,months when pregnancy ended,inconsistent = 97 | don't know = 98,"haven_labelled, vctrs_vctr, double",13605,75.6421661292116,10
v234,other such pregnancies,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",13605,75.6421661292116,2
v235,index last child prior to maternity-health (calendar),no prior child = 0,"haven_labelled, vctrs_vctr, double",0,0,8
v237,birth between last and interview,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v238,births in last three years,NA,numeric,0,0,5
v239,pregnancies terminated before calendar beginning,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",13605,75.6421661292116,2
v240,month of last termination prior to calendar,inconsistent = 97 | don't know = 98,"haven_labelled, vctrs_vctr, double",16585,92.21060825086178,12
v241,year of last termination prior to calendar,inconsistent = 9997 | don't know = 9998,"haven_labelled, vctrs_vctr, double",16585,92.21060825086178,26
v242,cmc termination ended prior to calendar,inconsistent = 9997 | don't know = 9998,"haven_labelled, vctrs_vctr, double",16585,92.21060825086178,203
v243,completeness of last termination date prior to calendar,"day, month and year = 0 | month and year = 1 | from calendar = 2 | year = 5 | month = 7 | none = 8","haven_labelled, vctrs_vctr, double",16585,92.21060825086178,5
v244,can women get pregnant after birth and before period,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",0,0,3
v245,pregnancy losses,NA,numeric,0,0,9
v246,entries in pregnancy history,NA,numeric,0,0,17
v247a,collection of menstrual blood: reusable sanitary pads,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",5293,29.428444345602134,2
v247b,collection of menstrual blood: disposable sanitary pads,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",5293,29.428444345602134,2
v247c,collection of menstrual blood: tampons,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",5293,29.428444345602134,2
v247d,collection of menstrual blood: menstrual cup,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",5293,29.428444345602134,2
v247e,collection of menstrual blood: cloth,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",5293,29.428444345602134,2
v247f,collection of menstrual blood: toilet paper,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",5293,29.428444345602134,2
v247g,collection of menstrual blood: cotton wool,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",5293,29.428444345602134,2
v247h,collection of menstrual blood: underwear only,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",5293,29.428444345602134,2
v247i,na - collection of menstrual blood: cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v247j,na - collection of menstrual blood: cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v247k,na - collection of menstrual blood: cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v247l,na - collection of menstrual blood: cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v247x,collection of menstrual blood: other,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",5293,29.428444345602134,2
v247y,collection of menstrual blood: nothing,"no = 0 | yes, nothing was used = 1","haven_labelled, vctrs_vctr, double",5293,29.428444345602134,2
v248,able to change in privacy during last menstrual cycle,no = 0 | yes = 1 | away from home during last menstrual period = 2,"haven_labelled, vctrs_vctr, double",5293,29.428444345602134,3
v249,age at first menstrual period,never menstruated = 96 | don't know = 98,"haven_labelled, vctrs_vctr, double",0,0,27
v310,na - living children at first use,NA,numeric,17986,100,0
v311,na - children at first use (grouped),4+ = 4 | never used = 5,"haven_labelled, vctrs_vctr, double",17986,100,0
v312,current contraceptive method,not using = 0 | pill = 1 | iud = 2 | injections = 3 | diaphragm = 4 | male condom = 5 | female sterilization = 6 | male sterilization = 7 | periodic abstinence = 8 | withdrawal = 9 | other traditional = 10 | implants/norplant = 11 | prolonged abstinence = 12 | lactational amenorrhea (lam) = 13 | female condom = 14 | foam or jelly = 15 | emergency contraception = 16 | other modern method = 17 | standard days method (sdm) = 18 | specific method 1 = 19 | specific method 2 = 20,"haven_labelled, vctrs_vctr, double",0,0,15
v313,current use by method type,no method = 0 | folkloric method = 1 | traditional method = 2 | modern method = 3,"haven_labelled, vctrs_vctr, double",0,0,4
v315,month of start of use of method,NA,numeric,14300,79.50628266429445,12
v316,year of start of use of method,NA,numeric,14300,79.50628266429445,4
v317,date of start of use of method (cmc),NA,numeric,14300,79.50628266429445,40
v318,completeness of information,"month and year - information complete = 1 | year - month imputed, age calculated = 5 | month - date placed = 7 | none - date placed = 8 | from calendar = 9","haven_labelled, vctrs_vctr, double",14300,79.50628266429445,1
v319,years since sterilization,<2 = 1 | 2-3 = 2 | 4-5 = 3 | 6-7 = 4 | 8-9 = 5 | 10+ = 6,"haven_labelled, vctrs_vctr, double",17963,99.87212276214834,2
v320,age at sterilization,<25 = 1 | 25-29 = 2 | 30-34 = 3 | 35-39 = 4 | 40-44 = 5 | 45-49 = 6,"haven_labelled, vctrs_vctr, double",17963,99.87212276214834,3
v321,years since first union at sterilization,"single, before first marriage = 0 | 0-4 = 1 | 5-9 = 2 | 10-14 = 3 | 15-19 = 4 | 20-24 = 5 | 25+ = 6","haven_labelled, vctrs_vctr, double",17963,99.87212276214834,4
v321a,years since current union at sterilization,"single, before current union, or married only once = 0 | 0-4 = 1 | 5-9 = 2 | 10-14 = 3 | 15-19 = 4 | 20-24 = 5 | 25+ = 6","haven_labelled, vctrs_vctr, double",17963,99.87212276214834,2
v322,parity at sterilization,5+ = 5,"haven_labelled, vctrs_vctr, double",17963,99.87212276214834,4
v323,brand of pill used,duofemconfidence = 1 | microgynon = 2 | lofemenal = 3 | neogynon = 4 | other = 96 | don't know = 98,"haven_labelled, vctrs_vctr, double",17782,98.86578449905483,6
v323a,brand of condom used,gold circle = 1 | durex = 2 | rough rider = 3 | twin lotus = 4 | plain condom = 5 | go flex = 6 | kiss = 7 | other = 96 | don't know = 98,"haven_labelled, vctrs_vctr, double",17566,97.6648504392305,9
v325a,na - cost of current method (in currency),free = 9999995 | don't know = 9999998,"haven_labelled, vctrs_vctr, double",17986,100,0
v326,last source for current users,---public sector--- = 10 | teaching hospital = 11 | federal medical center = 12 | general hospital = 13 | primary health care center = 14 | primary health clinic = 15 | health post = 16 | other public sector = 17 | ---private medical sector--- = 20 | private hospital = 21 | private clinic = 22 | pharmacy = 23 | patent & proprietary medicine vendors = 24 | private doctor = 25 | mobile clinic = 26 | maternity center = 27 | other private medical = 28 | ---ngo medical sector--- = 30 | faith-based hospital = 31 | faith-based clinic = 32 | family planning clinic = 33 | other ngo medical sector = 36 | ---other source--- = 40 | shop = 41 | church = 42 | friend/relative = 43 | other = 96 | don't know = 98,"haven_labelled, vctrs_vctr, double",15787,87.77382408539975,21
v327,last source for users by type,"government hospitals/medical cente/primary health center = 1 | government home/community delivery = 2 | ngo = 3 | private clinic/delivery = 4 | pharmacy = 5 | shop, church, friend, relative = 6 | other = 7 | don't know = 8","haven_labelled, vctrs_vctr, double",15787,87.77382408539975,7
v337,months of use of current method,all calendar {a core} = 95 | 96+ {b core} = 96 | inconsistent = 997 | don't know = 998,"haven_labelled, vctrs_vctr, double",14300,79.50628266429445,37
v359,last method discontinued in last 5 years,pill = 1 | iud = 2 | injections = 3 | diaphragm = 4 | male condom = 5 | female sterilization = 6 | male sterilization = 7 | periodic abstinence = 8 | withdrawal = 9 | other traditional = 10 | implants/norplant = 11 | prolonged abstinence = 12 | lactational amenorrhea (lam) = 13 | female condom = 14 | foam or jelly = 15 | emergency contraception = 16 | other modern method = 17 | standard days method (sdm) = 18 | specific method 1 = 19 | specific method 2 = 20,"haven_labelled, vctrs_vctr, double",14524,80.75169576337152,13
v360,reason of last discontinuation,"became pregnant = 1 | wanted to become pregnant = 2 | husband disapproved = 3 | side effects = 4 | health concerns = 5 | access, availability = 6 | wanted more effective method = 7 | inconvenient to use = 8 | infrequent sex, husband away = 9 | cost = 10 | fatalistic = 11 | difficult pregnancy, menopause = 12 | marital dissolution = 13 | other = 14 | changes in mesntrual bleeding = 15 | don't know = 98","haven_labelled, vctrs_vctr, double",14535,80.81285444234405,15
v361,pattern of use,currently using = 1 | used since last birth = 2 | used before last birth = 3 | never used = 4,"haven_labelled, vctrs_vctr, double",0,0,4
v362,intention to use,in next 12 months = 1 | use later = 2 | unsure about timing = 3 | unsure about use = 4 | does not intend = 5 | never had sex = 6,"haven_labelled, vctrs_vctr, double",3686,20.49371733570555,3
v363,na - preferred future method,pill = 1 | iud = 2 | injections = 3 | diaphragm = 4 | male condom = 5 | female sterilization = 6 | male sterilization = 7 | periodic abstinence = 8 | withdrawal = 9 | other traditional = 10 | implants/norplant = 11 | prolonged abstinence = 12 | lactational amenorrhea (lam) = 13 | female condom = 14 | foam or jelly = 15 | emergency contraception = 16 | other modern method = 17 | standard days method (sdm) = 18 | specific method 1 = 19 | specific method 2 = 20 | don't know = 98,"haven_labelled, vctrs_vctr, double",17986,100,0
v364,contraceptive use and intention,using modern method = 1 | using traditional method = 2 | non-user - intends to use later = 3 | does not intend to use = 4 | never had sex = 5,"haven_labelled, vctrs_vctr, double",0,0,4
v367,wanted last child,wanted then = 1 | wanted later = 2 | wanted no more = 3,"haven_labelled, vctrs_vctr, double",1254,6.972089402868899,3
v367a,wanted last pregnancy,wanted then = 1 | wanted later = 2 | wanted no more = 3,"haven_labelled, vctrs_vctr, double",0,0,3
v372,na - shown pill package,package not seen = 0 | package seen = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v372a,na - shown condom package,package not seen = 0 | package seen = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v375a,na - main reason not using a method,"not married = 11 | fertility-related = 20 | not having sex = 21 | infrequent sex = 22 | menopausal, hysterectomy = 23 | subfecund, infecund = 24 | postpartum, breastfeeding = 25 | wants more children = 26 | pregnant = 27 | opposition to use = 30 | respondent opposed = 31 | husband opposed = 32 | others opposed = 33 | religious prohibition = 34 | lack of knowledge = 40 | knows no method = 41 | knows no source = 42 | method-related = 50 | health concerns = 51 | fears side effects = 52 | lack of access = 53 | cost too much = 54 | inconvenient to use = 55 | interferes with body = 56 | other = 96 | don't know = 98","haven_labelled, vctrs_vctr, double",17986,100,0
v376,na - main reason not to use a method,"not married = 11 | fertility-related = 20 | infrequent sex = 22 | menopausal, hysterectomy = 23 | subfecund, infecund = 24 | wants more children = 26 | opposition to use = 30 | respondent opposed = 31 | husband opposed = 32 | others opposed = 33 | religious prohibition = 34 | lack of knowledge = 40 | knows no method = 41 | knows no source = 42 | method-related = 50 | health concerns = 51 | fears side effects = 52 | lack of access = 53 | cost too much = 54 | inconvenient to use = 55 | interferes with body = 56 | other = 96 | don't know = 98","haven_labelled, vctrs_vctr, double",17986,100,0
v376a,na - would ever use method if married,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v379,source known for any method,"---public sector--- = 10 | teaching hospital = 11 | federal medical center = 12 | general hospital = 13 | primary health care center = 14 | primary health clinic = 15 | health post = 16 | other public sector = 17 | ---private medical sector--- = 20 | private hospital = 21 | private clinic = 22 | pharmacy = 23 | patent & proprietary medicine vendors = 24 | private doctor = 25 | mobile clinic = 26 | maternity center = 27 | other private medical = 28 | ---ngo medical sector--- = 30 | faith-based hospital = 31 | faith-based clinic = 32 | family planning clinic = 33 | other ngo medical sector = 36 | ---other source--- = 40 | shop = 41 | church = 42 | friend/relative = 43 | knows source, place wasn't asked = 94 | knowledge of source wasn't asked = 95 | other = 96 | don't know = 98","haven_labelled, vctrs_vctr, double",0,0,24
v380,source known for any method,"government hospitals/medical cente/primary health center = 1 | government home/community delivery = 2 | ngo = 3 | private clinic/delivery = 4 | pharmacy = 5 | shop, church, friend, relative = 6 | other = 7 | don't know = 8","haven_labelled, vctrs_vctr, double",1469,8.167463582786612,8
v384a,heard family planning on radio last few months,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v384b,heard family planning on tv last few months,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v384c,heard family planning in newspaper/magazine last few months,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v384d,heard family planning by text messages on mobile phone,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v384e,"seen about family planning on facebook, twitter, instagram, others",no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v384f,"seen about family planning on poster, brochure",no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v384g,"seen about family planning on outdoor sign, billboard",no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v384h,heard family planning at community meetings events,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v384i,na - heard/seen family planning cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v384j,na - heard/seen family planning cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v384k,na - heard/seen family planning cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v393,visited by fieldworker in last 12 months,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v393a,did fieldworker talk about family planning,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",15827,87.99621928166351,2
v394,visited health facility last 12 months,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v395,"at health facility, told of family planning",no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",9122,50.71722450795063,2
v3a00a,na - source of family planning for non-users: government hospital,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00b,na - source of family planning for non-users: cs public sector,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00c,na - source of family planning for non-users: cs public sector,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00d,na - source of family planning for non-users: cs public sector,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00e,na - source of family planning for non-users: cs public sector,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00f,na - source of family planning for non-users: cs public sector,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00g,na - source of family planning for non-users: cs public sector,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00h,na - source of family planning for non-users: cs public sector,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00i,na - source of family planning for non-users: cs public sector,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00j,na - source of family planning for non-users: private hospital/clinic,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00k,na - source of family planning for non-users: pharmacy,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00l,na - source of family planning for non-users: private doctor,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00m,na - source of family planning for non-users: cs private sector,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00n,na - source of family planning for non-users: cs private sector,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00o,na - source of family planning for non-users: cs private sector,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00p,na - source of family planning for non-users: cs private sector,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00q,na - source of family planning for non-users: cs private sector,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00r,na - source of family planning for non-users: cs private sector,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00s,na - source of family planning for non-users: cs other,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00t,na - source of family planning for non-users: cs other,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00u,na - source of family planning for non-users: cs other,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00v,na - source of family planning for non-users: cs other,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00w,na - source of family planning for non-users: cs other,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00x,na - source of family planning for non-users: other,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a00y,source of family planning for non-users: no source,no: knows a source = 0 | yes: knows no source = 1,"haven_labelled, vctrs_vctr, double",3686,20.49371733570555,2
v3a00z,source of family planning for non-users: any source,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",3686,20.49371733570555,2
v3a01,na - told sterilization would mean no more children,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a02,told about side effects,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",15787,87.77382408539975,2
v3a03,na - told about side effects by health or family planning worker,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a04,told how to deal with side effects,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",15787,87.77382408539975,2
v3a05,told about other family planning methods,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",15787,87.77382408539975,2
v3a06,na - told about other family planning methods by health or family planning worke,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a07,first source for current method,---public sector--- = 10 | teaching hospital = 11 | federal medical center = 12 | general hospital = 13 | primary health care center = 14 | primary health clinic = 15 | health post = 16 | other public sector = 17 | ---private medical sector--- = 20 | private hospital = 21 | private clinic = 22 | pharmacy = 23 | patent & proprietary medicine vendors = 24 | private doctor = 25 | mobile clinic = 26 | maternity center = 27 | other private medical = 28 | ---ngo medical sector--- = 30 | faith-based hospital = 31 | faith-based clinic = 32 | family planning clinic = 33 | other ngo medical sector = 36 | ---other source--- = 40 | shop = 41 | church = 42 | friend/relative = 43 | other = 96 | don't know = 98,"haven_labelled, vctrs_vctr, double",15787,87.77382408539975,21
v3a08a,reason not using: not married,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08b,reason not using: not having sex,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08c,reason not using: infrequent sex,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08d,reason not using: menopausal/hysterectomy,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08e,reason not using: subfecund/infecund,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08f,reason not using: postpartum amenorrheic,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08g,reason not using: breastfeeding,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08h,reason not using: fatalistic,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08i,reason not using: respondent opposed,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08j,reason not using: husband/partner opposed,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08k,reason not using: others opposed,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08l,reason not using: religious prohibition,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08m,reason not using: knows no method,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08n,reason not using: knows no source,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08o,na - reason not using: health concerns,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a08p,reason not using: other side effects,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08q,reason not using: lack of access/too far,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08r,reason not using: costs too much,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08s,reason not using: inconvenient to use,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08t,reason not using: interferes with body'??s processes,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08u,reason not using: preferred method not available,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08v,reason not using: no method available,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08w,reason not using: changes in menstrual bleeding,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08aa,reason not using: methods could cause infertility,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08ab,na - reason not using: cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a08ac,na - reason not using: cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a08ad,na - reason not using: cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a08ae,na - reason not using: cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a08af,na - reason not using: cs,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a08x,reason not using: other,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a08z,reason not using: don't know,no = 0 | yes: don't know = 1,"haven_labelled, vctrs_vctr, double",10848,60.31357722673191,2
v3a09a,na - how many pill cycles did get last time,don't know = 998,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a09b,na - how many condoms did get last time,don't know = 998,"haven_labelled, vctrs_vctr, double",17986,100,0
v3a10,probe for respondent/partner sterilized,"yes, respondent sterilized only = 1 | yes, partner sterilized only = 2 | yes, both sterilized = 3 | no, neither sterilized = 4","haven_labelled, vctrs_vctr, double",5202,28.92249527410208,2
v3a11,type of injectable based on picture observation,dmpa-sc/sayana press = 1 | needle and syringe = 2 | don't know = 8,"haven_labelled, vctrs_vctr, double",17349,96.45835649949962,3
v3a12,person who injected last time,self-injection = 1 | injection given by health care provider = 2 | don't know = 8,"haven_labelled, vctrs_vctr, double",17766,98.77682642054931,3
v3a13,used emergency contraception in past 12 months,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v3a14,could switch method if wanted/needed,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",15810,87.90170132325142,2
v401,last birth a caesarean section,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",1254,6.972089402868899,2
v404,currently breastfeeding,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v405,currently amenorrheic,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v406,currently abstaining,no = 0 | yes = 1,"haven_labelled, vctrs_vctr, double",0,0,2
v407,na - number of times breastfed during night,on demand = 96,"haven_labelled, vctrs_vctr, double",17986,100,0
v408,na - number of times breastfed during day,on demand = 96,"haven_labelled, vctrs_vctr, double",17986,100,0
v415,drank from bottle with nipple yesterday/last night,no = 0 | yes = 1 | don't know = 8,"haven_labelled, vctrs_vctr, double",2190,12.1761369954409,3
v416,na - heard of oral rehydration,never heard of = 0 | used ors = 1 | heard of ors = 2,"haven_labelled, vctrs_vctr, double",17986,100,0
v417,entries in pregnancy and postnatal care roster,NA,numeric,0,0,5
v418,entries in immunization roster,NA,numeric,0,0,5
v418a,entries in child health roster,NA,numeric,0,0,6
v419,entries in height/weight roster,NA,numeric,0,0,6
v420,measurer's code,NA,numeric,10548,58.64561325475369,67
v421,assistant measurer's code,assistant not used = 9999,"haven_labelled, vctrs_vctr, double",10548,58.64561325475369,53
v426,when child put to breast,immediately = 0 | within first hour = 100 | hours: 1 = 101 | hours: number missing = 199 | days: 1 = 201 | days: number missing = 299,"haven_labelled, vctrs_vctr, double",2264,12.587568108528856,42
v437,respondent's weight in kilograms (1 decimal),not present = 9994 | refused = 9995 | other = 9996,"haven_labelled, vctrs_vctr, double",10548,58.64561325475369,669
v438,respondent's height in centimeters (1 decimal),not present = 9994 | refused = 9995 | other = 9996,"haven_labelled, vctrs_vctr, double",10548,58.64561325475369,352
v445,body mass index,flagged cases = 9998,"haven_labelled, vctrs_vctr, double",10673,59.34059824307795,1730
v447,result of measurement - height/weight,measured = 0 | not present = 3 | refused = 4 | other = 6 | no measurement found in household = 7,"haven_labelled, vctrs_vctr, double",0,0,5
v446a,height/age standard deviation (new who) (women age 15-19),height out of plausible limits = 9996 | age in days out of plausible limits = 9997 | flagged cases = 9998,"haven_labelled, vctrs_vctr, double",17619,97.95952407428,202
v446d,bmi/age standard deviation (new who) (women age 15-19),height out of plausible limits = 9996 | age in days out of plausible limits = 9997 | flagged cases = 9998,"haven_labelled, vctrs_vctr, double",17619,97.95952407428,209
v447a,women's age in years (from household questionnaire),NA,numeric,10548,58.64561325475369,35
v452a,under age 18 (from household questionnaire),under age 18 = 1 | age 18 or older = 2,"haven_labelled, vctrs_vctr, double",10548,58.64561325475369,2
v452b,line number of parent/caretaker,not in household = 0,"haven_labelled, vctrs_vctr, double",17960,99.85544312242855,5
v452c,read consent statement - hemoglobin,granted = 1 | parent/other responsible refused = 2 | respondent refused = 3 | adult/parent not present = 4 | minor not present = 5,"haven_labelled, vctrs_vctr, double",10548,58.64561325475369,4
